candidate_id,Riding,Candidate Name,Party
1,Abbotsford-Mission,"Gibson, Simon John",British Columbia Liberal Party
2,Abbotsford South,"Gray, Ron",Christian Heritage Party of British Columbia
3,Abbotsford West,"Rai, Preet",BC NDP
4,Abbotsford West,"de Jong, Michael",British Columbia Liberal Party
5,Boundary-Similkameen,"Larson, Linda Margaret",British Columbia Liberal Party
6,Boundary-Similkameen,"Ross, Colleen",BC NDP
7,Burnaby-Deer Lake,"Ishak, Elias",Independent
8,Burnaby-Deer Lake,"McGowan, Rick",Green Party Political Association of British Columbia
9,Burnaby-Deer Lake,"Wang, Karen Xiao Bao",British Columbia Liberal Party
10,Burnaby-Deer Lake,"Kang, Anne",BC NDP
11,Burnaby-Edmonds,"Wu, Valentine",Green Party Political Association of British Columbia
12,Burnaby-Edmonds,"Chouhan, Raj",BC NDP
13,Burnaby-Lougheed,"Keithley, Joe",Green Party Political Association of British Columbia
14,Burnaby-Lougheed,"Chen, Katrina",BC NDP
15,Burnaby-Lougheed,"Darling, Steve",British Columbia Liberal Party
16,Burnaby North,"Lee, Richard T.",British Columbia Liberal Party
17,Burnaby North,"Hallschmid, Peter",Green Party Political Association of British Columbia
18,Burnaby North,"Routledge, Janet",BC NDP
19,Cariboo-Chilcotin,"Watson, Sally",BC NDP
20,Cariboo-Chilcotin,"Giesbrecht, Rita Helen",Green Party Political Association of British Columbia
21,Cariboo-Chilcotin,"Barnett, Donna",British Columbia Liberal Party
22,Cariboo North,"Oakes, Coralee Ella",British Columbia Liberal Party
23,Cariboo North,"Goulet, Tony",British Columbia Conservative Party
24,Cariboo North,"Elliott, Scott",BC NDP
25,Chilliwack,"Martin, John",British Columbia Liberal Party
26,Chilliwack,"O'Hara, Tracey Lorrean",BC NDP
27,Chilliwack-Kent,"Throness, Laurie",British Columbia Liberal Party
28,Chilliwack-Kent,"MacAhonic, Patti",BC NDP
29,Columbia River-Revelstoke,"Boyer, Samson",Green Party Political Association of British Columbia
30,Columbia River-Revelstoke,"Taft, Gerry",BC NDP
31,Columbia River-Revelstoke,"Clovechok, Doug",British Columbia Liberal Party
32,Coquitlam-Burke Mountain,"Isaacs, Joan",British Columbia Liberal Party
33,Coquitlam-Burke Mountain,"Wickens, Jodie",BC NDP
34,Coquitlam-Maillardville,"Kim, Steve",British Columbia Liberal Party
35,Coquitlam-Maillardville,"Spurling, Nicola Eyton",Green Party Political Association of British Columbia
36,Coquitlam-Maillardville,"Robinson, Selina Mae",BC NDP
37,Courtenay-Comox,"Leonard, Ronna-Rae",BC NDP
38,Courtenay-Comox,"Benninger, Jim",British Columbia Liberal Party
39,Courtenay-Comox,"Sellentin, Ernie",Green Party Political Association of British Columbia
40,Cowichan Valley,"Iannidinardo, Lori Lynn",BC NDP
41,Cowichan Valley,"Furstenau, Sonia",Green Party Political Association of British Columbia
